Date, TemperatureHigh, TemperatureLow, DewPoint, Humidity, Pressure, PrecipitationIntensity, PrecipitationType, NextDayPrecipitationType
2018-03-26, 43.57, 21.19, 18.51, 0.59, 1040.32, 0, none, none
2018-03-25, 37.98, 23.57, 25.57, 0.73, 1030.81, 0.0013, snow, none
2018-03-24, 45.79, 31.82, 24.44, 0.57, 1017.77, 0.0002, rain, snow
2018-03-23, 45.85, 34.79, 22.73, 0.54, 1014.01, 0, none, rain
2018-03-22, 46.72, 30.04, 27.72, 0.67, 1007.53, 0.0043, rain, none
2018-03-21, 38.55, 31.86, 19.71, 0.58, 1010.27, 0, none, rain
2018-03-20, 42.46, 27.94, 11.6, 0.46, 1014.47, 0.0001, snow, none
2018-03-19, 34.78, 19.05, 3.48, 0.4, 1013.4, 0, none, snow
2018-03-18, 30.44, 14.57, -1.99, 0.37, 1011.82, 0, none, none
2018-03-17, 37.42, 11.75, 9.57, 0.47, 1005.95, 0.0001, snow, none
2018-03-16, 35.49, 21.95, 17.77, 0.58, 1001.7, 0.0001, snow, snow
2018-03-15, 41.29, 28.09, 25.38, 0.68, 995.46, 0.0036, rain, snow
2018-03-14, 37.11, 31.42, 28.35, 0.85, 995.67, 0.0088, snow, rain
2018-03-13, 31.43, 27.82, 28.73, 0.92, 1003.14, 0.0053, snow, snow
2018-03-12, 40.5, 30.66, 26.23, 0.78, 1017.86, 0.0008, snow, snow
2018-03-11, 42.88, 21.79, 23.74, 0.64, 1015.54, 0.0038, rain, snow
2018-03-10, 38.03, 27.97, 24.9, 0.71, 1008.26, 0.0047, snow, rain
2018-03-09, 36, 29.52, 25.48, 0.81, 1003.84, 0.0047, snow, snow
2018-03-08, 34.31, 24.66, 29.97, 0.92, 1002.42, 0.0157, snow, snow
2018-03-07, 33.21, 30.05, 28.77, 0.87, 1012.36, 0.006, snow, snow
2018-03-06, 38.56, 30.53, 22.5, 0.67, 1018.32, 0, none, snow
2018-03-05, 43.96, 26.57, 26.63, 0.7, 1017.35, 0.002, rain, none
2018-03-04, 42.37, 31.04, 26.35, 0.61, 1018.12, 0, none, rain
2018-03-03, 46.43, 37.75, 28.02, 0.6, 1014.74, 0.0002, rain, none
2018-03-02, 41.37, 37.52, 34.08, 0.85, 1001.92, 0.0456, rain, rain
